region,zone,woreda,kebele,health_post
Oromia,East Shewa,Tulu Jido Kombolcha,Anano Shisho,Anano Shisho
Oromia,East Shewa,Tulu Jido Kombolcha,Bulbula 01,Bulbula 01
Oromia,West Arsi,Shashemene,Jelo Dida Health Post,Jelo Dida Health Post
Oromia,West Arsi,Shashemene,Bura Borema Health Post,Bura Borema Health Post
Oromia,West Arsi,Shashemene,Bura Borema,Bura Borema
Oromia,West Arsi,Shashemene,Tatesa Dedesa,Tatesa Dedesa
Oromia,West Arsi,Shashemene,Kore Rogicha,Kore Rogicha
Oromia,West Arsi,Shashemene,Chulule Habera,Chulule Habera
Oromia,West Arsi,Shashemene,Chefe Guta,Chefe Guta
Oromia,West Arsi,Shashemene,Kubi Guta,Kubi Guta
Oromia,West Arsi,Shashemene,Faji Gole,Faji Gole
Oromia,West Arsi,Shashemene,Abaro,Abaro
Oromia,West Arsi,Shashemene,Meraro,Meraro
Oromia,West Arsi,Shashemene,Danisa,Danisa
Oromia,West Arsi,Shashemene,Gonde Kerso,Gonde Kerso
Oromia,West Arsi,Shashemene,Hursa Simbo,Hursa Simbo
Oromia,West Arsi,Shashemene,Jengela,Jengela
Oromia,West Arsi,Shashemene,Wendere,Wendere
Oromia,West Arsi,Shashemene,Jelo Dida,Jelo Dida
Oromia,West Arsi,Shashemene,Obenso Jelo,Obenso Jelo
Oromia,West Arsi,Shashemene,Watera Shegule,Watera Shegule
Oromia,West Arsi,Shashemene,Ardeno Shifa,Ardeno Shifa
Oromia,East Shewa,Tulu Jido Kombolcha,Wilicho Boremo,Wilicho Boremo
Oromia,East Shewa,Tulu Jido Kombolcha,Galo Hiriphe,Galo Hiriphe
Oromia,East Shewa,Tulu Jido Kombolcha,Gebiba Rasa,Gebiba Rasa
Oromia,East Shewa,Tulu Jido Kombolcha,Galiye Migira,Galiye Migira
Oromia,East Shewa,Tulu Jido Kombolcha,Ido Gojola,Ido Gojola
Oromia,East Shewa,Tulu Jido Kombolcha,Welin Bula,Welin Bula
Oromia,East Shewa,Tulu Jido Kombolcha,Negalign,Negalign
Oromia,East Shewa,Tulu Jido Kombolcha,Ilka Chelemo,Ilka Chelemo
Oromia,East Shewa,Tulu Jido Kombolcha,Aneno Shisho,Aneno Shisho
Oromia,East Shewa,Tulu Jido Kombolcha,Haleku Gulenta,Haleku Gulenta
Oromia,East Shewa,Tulu Jido Kombolcha,Gobejecho Asebo,Gobejecho Asebo
Oromia,East Shewa,Tulu Jido Kombolcha,Suro Kudiso,Suro Kudiso
Oromia,East Shewa,Tulu Jido Kombolcha,Weyiso Kenchera,Weyiso Kenchera
Oromia,East Shewa,Tulu Jido Kombolcha,Jila Aluto,Jila Aluto
Oromia,East Shewa,Tulu Jido Kombolcha,Abayi Deneba,Abayi Deneba
Oromia,East Shewa,Tulu Jido Kombolcha,Aluto,Aluto
Oromia,East Shewa,Tulu Jido Kombolcha,Bulubula 01,Bulubula 01
Oromia,East Shewa,Tulu Jido Kombolcha,Desta Abjata,Desta Abjata
Oromia,East Shewa,Tulu Jido Kombolcha,Arba,Arba
Oromia,East Shewa,Tulu Jido Kombolcha,Andole Chebi,Andole Chebi
Oromia,East Shewa,Tulu Jido Kombolcha,Korme Bujure,Korme Bujure
Oromia,East Shewa,Tulu Jido Kombolcha,Kertefa Weransa,Kertefa Weransa
Oromia,East Shewa,Tulu Jido Kombolcha,Urgo Mechefera,Urgo Mechefera
Oromia,East Shewa,Tulu Jido Kombolcha,Oitu Basuma,Oitu Basuma
Oromia,East Shewa,Tulu Jido Kombolcha,Hurufa Lole,Hurufa Lole
Oromia,East Shewa,Tulu Jido Kombolcha,Oda Ashura,Oda Ashura
Oromia,East Shewa,Tulu Jido Kombolcha,Haroresa Kelbo,Haroresa Kelbo
Oromia,East Shewa,Tulu Jido Kombolcha,Abine Gutumuma,Abine Gutumuma
Oromia,East Shewa,Tulu Jido Kombolcha,Jido 01,Jido 01
Oromia,East Shewa,Tulu Jido Kombolcha,Chitu Getu,Chitu Getu
Oromia,East Shewa,Tulu Jido Kombolcha,Leliso Dambe,Leliso Dambe
Oromia,East Shewa,Tulu Jido Kombolcha,Dembe Adasho,Dembe Adasho
Oromia,East Shewa,Tulu Jido Kombolcha,Adasho Borenota,Adasho Borenota
Oromia,East Shewa,Tulu Jido Kombolcha,Ilalan Ababo,Ilalan Ababo
Oromia,East Shewa,Tulu Jido Kombolcha,Bara,Bara
Oromia,East Shewa,Tulu Jido Kombolcha,Reji,Reji
Oromia,East Shewa,Tulu Jido Kombolcha,Adasho Gogesa,Adasho Gogesa
Oromia,East Shewa,Tulu Jido Kombolcha,Naka,Naka
